iataArea,regionCode,regionName,countryCode,subRegionName
1,NOA,NORTH AMERICA,US,USA
1,NOA,NORTH AMERICA,CA,CANADA
1,NOA,NORTH AMERICA,GL,NORTH AMERICAN ISLANDS
1,NOA,NORTH AMERICA,PM,NORTH AMERICAN ISLANDS
1,NOA,NORTH AMERICA,PR,NORTH AMERICAN ISLANDS
1,NOA,NORTH AMERICA,VI,NORTH AMERICAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,BQ,FRENCH CARRIBEAN
1,CAR,CARRIBEAN ISLANDS,CW,FRENCH CARRIBEAN
1,CAR,CARRIBEAN ISLANDS,GF,FRENCH CARRIBEAN
1,CAR,CARRIBEAN ISLANDS,GP,FRENCH CARRIBEAN
1,CAR,CARRIBEAN ISLANDS,MQ,FRENCH CARRIBEAN
1,CAR,CARRIBEAN ISLANDS,SX,FRENCH CARRIBEAN
1,CAR,CARRIBEAN ISLANDS,AG,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,AI,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,AW,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,BB,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,BM,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,BS,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,CU,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,DM,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,DO,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,GD,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,GY,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,HT,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,JM,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,KN,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,KY,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,LC,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,MS,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,SR,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,TC,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,TT,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,VC,CARRIBEAN ISLANDS
1,CAR,CARRIBEAN ISLANDS,VG,CARRIBEAN ISLANDS
1,CEM,CENTRAL AMERICA,BO,AF CENTRAL AMERICA
1,CEM,CENTRAL AMERICA,EC,AF CENTRAL AMERICA
1,CEM,CENTRAL AMERICA,PE,AF CENTRAL AMERICA
1,CEM,CENTRAL AMERICA,VE,AF CENTRAL AMERICA
1,CEM,CENTRAL AMERICA,BZ,OTHERS CENTRAL AMERICA
1,CEM,CENTRAL AMERICA,CO,OTHERS CENTRAL AMERICA
1,CEM,CENTRAL AMERICA,CR,OTHERS CENTRAL AMERICA
1,CEM,CENTRAL AMERICA,GT,OTHERS CENTRAL AMERICA
1,CEM,CENTRAL AMERICA,HN,OTHERS CENTRAL AMERICA
1,CEM,CENTRAL AMERICA,MX,OTHERS CENTRAL AMERICA
1,CEM,CENTRAL AMERICA,NI,OTHERS CENTRAL AMERICA
1,CEM,CENTRAL AMERICA,PA,OTHERS CENTRAL AMERICA
1,CEM,CENTRAL AMERICA,SV,OTHERS CENTRAL AMERICA
1,SOA,SOUTH AMERICA,BR,BRAZIL
1,SOA,SOUTH AMERICA,CL,WEST SOUTH AMERICA
1,SOA,SOUTH AMERICA,AR,EAST SOUTH AMERICA
1,SOA,SOUTH AMERICA,FK,EAST SOUTH AMERICA
1,SOA,SOUTH AMERICA,PY,EAST SOUTH AMERICA
1,SOA,SOUTH AMERICA,UY,EAST SOUTH AMERICA
2,EUR,EUROPA,DK,SCANDINAVIA
2,EUR,EUROPA,FO,SCANDINAVIA
2,EUR,EUROPA,NO,SCANDINAVIA
2,EUR,EUROPA,SE,SCANDINAVIA
2,EUR,EUROPA,AM,EAST EUROPA
2,EUR,EUROPA,AZ,EAST EUROPA
2,EUR,EUROPA,BG,EAST EUROPA
2,EUR,EUROPA,BY,EAST EUROPA
2,EUR,EUROPA,CZ,EAST EUROPA
2,EUR,EUROPA,EE,EAST EUROPA
2,EUR,EUROPA,GE,EAST EUROPA
2,EUR,EUROPA,HU,EAST EUROPA
2,EUR,EUROPA,LT,EAST EUROPA
2,EUR,EUROPA,LV,EAST EUROPA
2,EUR,EUROPA,MD,EAST EUROPA
2,EUR,EUROPA,PL,EAST EUROPA
2,EUR,EUROPA,RO,EAST EUROPA
2,EUR,EUROPA,RU,EAST EUROPA
2,EUR,EUROPA,SK,EAST EUROPA
2,EUR,EUROPA,UA,EAST EUROPA
2,EUR,EUROPA,BE,FRANCE/BENELUX
2,EUR,EUROPA,FR,FRANCE/BENELUX
2,EUR,EUROPA,LU,FRANCE/BENELUX
2,EUR,EUROPA,MC,FRANCE/BENELUX
2,EUR,EUROPA,NL,FRANCE/BENELUX
2,EUR,EUROPA,AT,NORTH EUROPA
2,EUR,EUROPA,CH,NORTH EUROPA
2,EUR,EUROPA,DE,NORTH EUROPA
2,EUR,EUROPA,FI,NORTH EUROPA
2,EUR,EUROPA,GB,NORTH EUROPA
2,EUR,EUROPA,IE,NORTH EUROPA
2,EUR,EUROPA,IS,NORTH EUROPA
2,EUR,EUROPA,AL,SOUTH EUROPA
2,EUR,EUROPA,BA,SOUTH EUROPA
2,EUR,EUROPA,CY,SOUTH EUROPA
2,EUR,EUROPA,ES,SOUTH EUROPA
2,EUR,EUROPA,GI,SOUTH EUROPA
2,EUR,EUROPA,GR,SOUTH EUROPA
2,EUR,EUROPA,HR,SOUTH EUROPA
2,EUR,EUROPA,IT,SOUTH EUROPA
2,EUR,EUROPA,ME,SOUTH EUROPA
2,EUR,EUROPA,MK,SOUTH EUROPA
2,EUR,EUROPA,MT,SOUTH EUROPA
2,EUR,EUROPA,PT,SOUTH EUROPA
2,EUR,EUROPA,RS,SOUTH EUROPA
2,EUR,EUROPA,SI,SOUTH EUROPA
2,EUR,EUROPA,TR,SOUTH EUROPA
2,EUR,EUROPA,DZ,NORTH AFRICA
2,EUR,EUROPA,LY,NORTH AFRICA
2,EUR,EUROPA,MA,NORTH AFRICA
2,EUR,EUROPA,TN,NORTH AFRICA
2,MDE,MIDDLE EAST - GULF,AE,MIDDLE EAST
2,MDE,MIDDLE EAST - GULF,EG,MIDDLE EAST
2,MDE,MIDDLE EAST - GULF,IQ,MIDDLE EAST
2,MDE,MIDDLE EAST - GULF,JO,MIDDLE EAST
2,MDE,MIDDLE EAST - GULF,KW,MIDDLE EAST
2,MDE,MIDDLE EAST - GULF,LB,MIDDLE EAST
2,MDE,MIDDLE EAST - GULF,SA,MIDDLE EAST
2,MDE,MIDDLE EAST - GULF,SY,MIDDLE EAST
2,MDE,MIDDLE EAST - GULF,BH,GULF
2,MDE,MIDDLE EAST - GULF,IL,GULF
2,MDE,MIDDLE EAST - GULF,IR,GULF
2,MDE,MIDDLE EAST - GULF,OM,GULF
2,MDE,MIDDLE EAST - GULF,PS,GULF
2,MDE,MIDDLE EAST - GULF,QA,GULF
2,MDE,MIDDLE EAST - GULF,SD,GULF
2,MDE,MIDDLE EAST - GULF,SS,GULF
2,MDE,MIDDLE EAST - GULF,YE,GULF
2,AFR,AFRICA,BI,EAST AFRICA
2,AFR,AFRICA,DJ,EAST AFRICA
2,AFR,AFRICA,ER,EAST AFRICA
2,AFR,AFRICA,ET,EAST AFRICA
2,AFR,AFRICA,KE,EAST AFRICA
2,AFR,AFRICA,RW,EAST AFRICA
2,AFR,AFRICA,SO,EAST AFRICA
2,AFR,AFRICA,TZ,EAST AFRICA
2,AFR,AFRICA,UG,EAST AFRICA
2,AFR,AFRICA,AO,WEST AFRICA
2,AFR,AFRICA,BF,WEST AFRICA
2,AFR,AFRICA,BJ,WEST AFRICA
2,AFR,AFRICA,CD,WEST AFRICA
2,AFR,AFRICA,CF,WEST AFRICA
2,AFR,AFRICA,CG,WEST AFRICA
2,AFR,AFRICA,CI,WEST AFRICA
2,AFR,AFRICA,CM,WEST AFRICA
2,AFR,AFRICA,CV,WEST AFRICA
2,AFR,AFRICA,GA,WEST AFRICA
2,AFR,AFRICA,GH,WEST AFRICA
2,AFR,AFRICA,GM,WEST AFRICA
2,AFR,AFRICA,GN,WEST AFRICA
2,AFR,AFRICA,GQ,WEST AFRICA
2,AFR,AFRICA,GW,WEST AFRICA
2,AFR,AFRICA,LR,WEST AFRICA
2,AFR,AFRICA,ML,WEST AFRICA
2,AFR,AFRICA,MR,WEST AFRICA
2,AFR,AFRICA,NE,WEST AFRICA
2,AFR,AFRICA,NG,WEST AFRICA
2,AFR,AFRICA,SL,WEST AFRICA
2,AFR,AFRICA,SN,WEST AFRICA
2,AFR,AFRICA,ST,WEST AFRICA
2,AFR,AFRICA,TD,WEST AFRICA
2,AFR,AFRICA,TG,WEST AFRICA
2,AFR,AFRICA,MW,CENTRAL AFRICA
2,AFR,AFRICA,ZM,CENTRAL AFRICA
2,AFR,AFRICA,ZW,CENTRAL AFRICA
2,AFR,AFRICA,KM,INDIAN OCEAN
2,AFR,AFRICA,MG,INDIAN OCEAN
2,AFR,AFRICA,MU,INDIAN OCEAN
2,AFR,AFRICA,RE,INDIAN OCEAN
2,AFR,AFRICA,SC,INDIAN OCEAN
2,AFR,AFRICA,YT,INDIAN OCEAN
2,AFR,AFRICA,BW,SOUTHERN AFRICA
2,AFR,AFRICA,LS,SOUTHERN AFRICA
2,AFR,AFRICA,MZ,SOUTHERN AFRICA
2,AFR,AFRICA,NA,SOUTHERN AFRICA
2,AFR,AFRICA,SZ,SOUTHERN AFRICA
2,AFR,AFRICA,ZA,SOUTHERN AFRICA
3,SAS,SOUTH ASIAN SUBCONTINENT,IN,INDIA
3,SAS,SOUTH ASIAN SUBCONTINENT,PK,PAKISTAN
3,SAS,SOUTH ASIAN SUBCONTINENT,AF,OTHERS OF S/Z 3A
3,SAS,SOUTH ASIAN SUBCONTINENT,BD,OTHERS OF S/Z 3A
3,SAS,SOUTH ASIAN SUBCONTINENT,BT,OTHERS OF S/Z 3A
3,SAS,SOUTH ASIAN SUBCONTINENT,LK,OTHERS OF S/Z 3A
3,SAS,SOUTH ASIAN SUBCONTINENT,MV,OTHERS OF S/Z 3A
3,SAS,SOUTH ASIAN SUBCONTINENT,NP,OTHERS OF S/Z 3A
3,SEA,SOUTH EAST ASIA,HK,HONG KONG
3,SEA,SOUTH EAST ASIA,CN,PEOPLE REP OF CHINA
3,SEA,SOUTH EAST ASIA,BN,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,FM,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,GU,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,ID,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,KG,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,KH,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,KZ,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,LA,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,MH,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,MM,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,MN,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,MO,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,MY,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,PH,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,PW,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,SG,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,TH,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,TJ,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,TM,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,TW,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,UM,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,UZ,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,VN,OTHERS OF S/Z 3B
3,SEA,SOUTH EAST ASIA,XU,OTHERS OF S/Z 3B
3,SWP,SOUTH WEST PACIFIC,AU,AUSTRALIA
3,SWP,SOUTH WEST PACIFIC,CC,AUSTRALIA
3,SWP,SOUTH WEST PACIFIC,CX,AUSTRALIA
3,SWP,SOUTH WEST PACIFIC,NF,AUSTRALIA
3,SWP,SOUTH WEST PACIFIC,NR,AUSTRALIA
3,SWP,SOUTH WEST PACIFIC,NU,NEW ZEALAND
3,SWP,SOUTH WEST PACIFIC,NZ,NEW ZEALAND
3,SWP,SOUTH WEST PACIFIC,AS,PACIFIC ISLANDS
3,SWP,SOUTH WEST PACIFIC,CK,PACIFIC ISLANDS
3,SWP,SOUTH WEST PACIFIC,FJ,PACIFIC ISLANDS
3,SWP,SOUTH WEST PACIFIC,KI,PACIFIC ISLANDS
3,SWP,SOUTH WEST PACIFIC,MP,PACIFIC ISLANDS
3,SWP,SOUTH WEST PACIFIC,NC,PACIFIC ISLANDS
3,SWP,SOUTH WEST PACIFIC,PF,PACIFIC ISLANDS
3,SWP,SOUTH WEST PACIFIC,PG,PACIFIC ISLANDS
3,SWP,SOUTH WEST PACIFIC,SB,PACIFIC ISLANDS
3,SWP,SOUTH WEST PACIFIC,TO,PACIFIC ISLANDS
3,SWP,SOUTH WEST PACIFIC,TV,PACIFIC ISLANDS
3,SWP,SOUTH WEST PACIFIC,VU,PACIFIC ISLANDS
3,SWP,SOUTH WEST PACIFIC,WF,PACIFIC ISLANDS
3,SWP,SOUTH WEST PACIFIC,WS,PACIFIC ISLANDS
3,JAK,JAPAN/KOREA,JP,JAPAN
3,JAK,JAPAN/KOREA,KP,KOREA
3,JAK,JAPAN/KOREA,KR,KOREA
